cust_id,name,gender,city,state,tier,signup_date
CUST_00001,Aarav Singh,Male,Mumbai,Maharashtra,Tier 1,2023-09-13
CUST_00002,Varun Gupta,Male,Bengaluru,Karnataka,Tier 1,2024-01-10
CUST_00003,Amit Iyer,Male,Mumbai,Maharashtra,Tier 1,2024-08-03
CUST_00004,Kunal Iyer,Male,Bengaluru,Karnataka,Tier 1,2023-11-11
CUST_00005,Kavya Singh,Female,Delhi,Delhi,Tier 1,2023-09-13
CUST_00006,Arjun Verma,Male,Delhi,Delhi,Tier 1,2024-02-26
CUST_00007,Kunal Nair,Male,Hyderabad,Telangana,Tier 1,2023-08-20
CUST_00008,Divya Kumar,Female,Kochi,Kerala,Tier 2,2023-08-11
CUST_00009,Aditya Singh,Male,Bhopal,Madhya Pradesh,Tier 3,2023-09-12
CUST_00010,Riya Reddy,Female,Indore,Madhya Pradesh,Tier 2,2023-11-14
CUST_00011,Kavya Mehta,Female,Kochi,Kerala,Tier 2,2023-08-13
CUST_00012,Amit Mehta,Male,Hyderabad,Telangana,Tier 1,2024-03-03
CUST_00013,Kabir Sharma,Male,Bengaluru,Karnataka,Tier 1,2024-04-19
CUST_00014,Riya Verma,Female,Pune,Maharashtra,Tier 1,2024-04-18
CUST_00015,Kunal Gupta,Male,Dehradun,Uttarakhand,Tier 3,2024-09-12
CUST_00016,Vikram Patel,Male,Pune,Maharashtra,Tier 1,2024-02-25
CUST_00017,Divya Gupta,Female,Mumbai,Maharashtra,Tier 1,2024-11-03
CUST_00018,Priya Sharma,Female,Bhopal,Madhya Pradesh,Tier 3,2023-11-11
CUST_00019,Divya Verma,Female,Pune,Maharashtra,Tier 1,2024-09-22
CUST_00020,Ishita Sharma,Female,Jaipur,Rajasthan,Tier 2,2024-12-01
CUST_00021,Kavya Verma,Female,Mumbai,Maharashtra,Tier 1,2024-09-07
CUST_00022,Vikram Nair,Male,Ahmedabad,Gujarat,Tier 2,2023-09-17
CUST_00023,Ishita Iyer,Female,Delhi,Delhi,Tier 1,2023-11-13
CUST_00024,Varun Kumar,Male,Jaipur,Rajasthan,Tier 2,2024-06-06
CUST_00025,Pooja Sharma,Female,Pune,Maharashtra,Tier 1,2023-08-20
CUST_00026,Kunal Verma,Male,Guwahati,Assam,Tier 3,2023-10-07
CUST_00027,Kunal Nair,Male,Pune,Maharashtra,Tier 1,2024-08-07
CUST_00028,Amit Mehta,Male,Chandigarh,Punjab,Tier 2,2024-06-17
CUST_00029,Ishita Reddy,Female,Mumbai,Maharashtra,Tier 1,2023-08-05
CUST_00030,Ananya Iyer,Female,Ahmedabad,Gujarat,Tier 2,2024-01-12
CUST_00031,Rohan Sharma,Male,Bengaluru,Karnataka,Tier 1,2024-05-04
CUST_00032,Amit Mehta,Male,Hyderabad,Telangana,Tier 1,2024-01-06
CUST_00033,Varun Iyer,Male,Chandigarh,Punjab,Tier 2,2024-07-21
CUST_00034,Rohan Verma,Male,Indore,Madhya Pradesh,Tier 2,2024-08-07
CUST_00035,Neha Sharma,Female,Kochi,Kerala,Tier 2,2023-09-09
CUST_00036,Arjun Kumar,Male,Varanasi,Uttar Pradesh,Tier 3,2024-02-10
CUST_00037,Aditya Nair,Male,Hyderabad,Telangana,Tier 1,2023-12-05
CUST_00038,Neha Mehta,Female,Varanasi,Uttar Pradesh,Tier 3,2024-08-27
CUST_00039,Aarav Nair,Male,Varanasi,Uttar Pradesh,Tier 3,2024-01-29
CUST_00040,Arjun Reddy,Male,Chandigarh,Punjab,Tier 2,2023-07-31
CUST_00041,Arjun Sharma,Male,Patna,Bihar,Tier 3,2024-09-08
CUST_00042,Tanvi Nair,Female,Chandigarh,Punjab,Tier 2,2023-11-06
CUST_00043,Vikram Mehta,Male,Guwahati,Assam,Tier 3,2023-08-02
CUST_00044,Ananya Sharma,Female,Ahmedabad,Gujarat,Tier 2,2024-11-25
CUST_00045,Aarav Nair,Male,Mumbai,Maharashtra,Tier 1,2023-08-10
CUST_00046,Aditya Gupta,Male,Pune,Maharashtra,Tier 1,2024-02-08
CUST_00047,Varun Verma,Male,Pune,Maharashtra,Tier 1,2024-11-17
CUST_00048,Riya Mehta,Female,Indore,Madhya Pradesh,Tier 2,2024-01-31
CUST_00049,Tanvi Patel,Female,Indore,Madhya Pradesh,Tier 2,2024-09-11
CUST_00050,Priya Sharma,Female,Ahmedabad,Gujarat,Tier 2,2023-09-11
CUST_00051,Amit Mehta,Male,Lucknow,Uttar Pradesh,Tier 2,2024-05-23
